package,package_uri,package_name,rank,hook,score,emotion,thumbnail,thumbnail_vertical,report
output_test_integration\Test_hook_integration_20260623_113657,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657,Test_hook_integration_20260623_113657,4,Lost forever,3.5,dramatic,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/hook_report.json
output_test_integration\Test_hook_integration_20260623_113657,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657,Test_hook_integration_20260623_113657,5,One impossible choice,2,dramatic,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/hook_report.json
output_test_integration\Test_hook_integration_20260623_113657,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657,Test_hook_integration_20260623_113657,6,Nobody believed him,2,dramatic,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_integration/Test_hook_integration_20260623_113657/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,1,His final choice,4,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,2,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,3,Shocking moment,4,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,4,Lost forever,3.5,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,5,One impossible choice,2,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449,Minecraft_betrayal_on_SMP_20260623_075449,6,Nobody believed him,2,dramatic,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_cfg/Minecraft_betrayal_on_SMP_20260623_075449/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,1,His final choice,4,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,2,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,3,Shocking moment,4,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,4,Lost forever,3.5,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,5,One impossible choice,2,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011,Minecraft_betrayal_on_SMP_20260623_075011,6,Nobody believed him,2,dramatic,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/thumbnail_vertical.png,file:///C:/edit%20factory/output_test2/Minecraft_betrayal_on_SMP_20260623_075011/hook_report.json
output_test\Minecraft_betrayal_on_SMP_20260623_072233,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233,Minecraft_betrayal_on_SMP_20260623_072233,1,His final choice,4,dramatic,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/thumbnail.png,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/thumbnail_vertical.png,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/hook_report.json
output_test\Minecraft_betrayal_on_SMP_20260623_072233,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233,Minecraft_betrayal_on_SMP_20260623_072233,2,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/thumbnail.png,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/thumbnail_vertical.png,file:///C:/edit%20factory/output_test/Minecraft_betrayal_on_SMP_20260623_072233/hook_report.json
